formasi_id,ins_nm,jp_nama,formasi_nm,jabatan_nm,lokasi_nm,jumlah_formasi,disable,gaji_min,gaji_max,jumlah_ms,jumlah_submit_t2,jumlah_ms_t2,is_periode_daftar
1cace306-2d0a-4fd7-99dc-0c54f4942d63,Arsip Nasional Republik Indonesia,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,ARSIP NASIONAL REPUBLIK INDONESIA | PUSAT PENDIDIKAN DAN PELATIHAN KEARSIPAN | SUBBAGIAN TATA USAHA,1,1,7994000,8601000,23,0,0,0
8265f8f0-e2fb-440c-ada8-0023cd742b38,Arsip Nasional Republik Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,ARSIP NASIONAL REPUBLIK INDONESIA | DEPUTI BIDANG KONSERVASI ARSIP | BALAI ARSIP STATIS DAN TSUNAMI,2,1,7974000,8581000,36,0,0,0
9fad6f7b-16b9-4684-907e-545e1f0a7e28,Arsip Nasional Republik Indonesia,CPNS,UMUM,AUDITOR AHLI PERTAMA,ARSIP NASIONAL REPUBLIK INDONESIA | INSPEKTORAT,2,1,7904000,8511000,29,0,0,0
f3d9733b-559d-48b9-83b7-b7949f0ae2f3,Badan Informasi Geospasial,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,Badan Informasi Geospasial | SEKRETARIAT UTAMA | BIRO UMUM DAN KEUANGAN,4,1,5500000,7800000,72,0,0,0
012cb772-30d0-4b63-817d-569785ba7a70,Badan Informasi Geospasial,CPNS,UMUM,AUDITOR AHLI PERTAMA,Badan Informasi Geospasial | INSPEKTORAT,7,1,5500000,7800000,166,0,0,0
4130e871-e915-4cd2-892d-9a477dfc69cd,Badan Informasi Geospasial,CPNS,UMUM,PENGELOLA PENGADAAN BARANG/JASA AHLI PERTAMA,Badan Informasi Geospasial | SEKRETARIAT UTAMA | BIRO UMUM DAN KEUANGAN | BAGIAN UMUM DAN LAYANAN PENGADAAN,1,1,5500000,7800000,14,0,0,0
aee1743f-a0de-4452-80a0-d9f958f716db,Badan Intelijen Negara,CPNS,UMUM,ANALIS INTELIJEN AHLI PERTAMA,BADAN INTELIJEN NEGARA | DEPUTI BIDANG ANALISIS DAN PRODUKSI INTELIJEN | DIREKTORAT ANALISIS EKONOMI | SUB DIREKTORAT KEUANGAN DAN PERBANKAN,1,0,3500000,7500000,15,0,0,0
001b36c5-adbc-41ab-9188-ed64623917a1,Badan Intelijen Negara,CPNS,UMUM,PENELAAH TEKNIS INTELIJEN,BADAN INTELIJEN NEGARA | DEPUTI BIDANG ANALISIS DAN PRODUKSI INTELIJEN | DIREKTORAT PERENCANAAN DAN PRODUKSI INTELIJEN | SUB DIREKTORAT PERENCANAAN PRODUKSI DAN ANGGARAN,1,0,3500000,7500000,3,0,0,0
7adc916e-2e9d-49ec-bc85-37d67209e8d1,Badan Intelijen Negara,CPNS,UMUM,PENELAAH TEKNIS INTELIJEN,BADAN INTELIJEN NEGARA | DEPUTI BIDANG INTELIJEN EKONOMI | DIREKTORAT PERENCANAAN PENGENDALIAN KEGIATAN DAN OPERASI | SUB DIREKTORAT PERENCANAAN ANGGARAN,1,0,3500000,7500000,1,0,0,0
fb4af4b5-0afd-4804-b1e3-e857994f660e,Badan Intelijen Negara,CPNS,UMUM,PENELAAH TEKNIS INTELIJEN,BADAN INTELIJEN NEGARA | SEKOLAH TINGGI INTLIJEN NEGARA | UNIT LABORATORIUM INTELIJEN EKONOMI,5,0,3500000,7500000,12,0,0,0
