formasi_id,ins_nm,jp_nama,formasi_nm,jabatan_nm,lokasi_nm,jumlah_formasi,disable,gaji_min,gaji_max,jumlah_ms,jumlah_submit_t2,jumlah_ms_t2,is_periode_daftar
3f0fc197-edfd-4fda-803b-b7b4205ca84b,Arsip Nasional Republik Indonesia,CPNS,UMUM,ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,"ARSIP NASIONAL REPUBLIK INDONESIA | SEKRETARIAT UTAMA | BIRO ORGANISASI, KEPEGAWAIAN DAN HUKUM",2,1,7994000,8601000,37,0,0,0
8a02826391606efe019165bf1aa527b2,Arsip Nasional Republik Indonesia,CPNS,PUTRA/PUTRI KALIMANTAN,ARSIPARIS AHLI PERTAMA,ARSIP NASIONAL REPUBLIK INDONESIA | DEPUTI BIDANG PEMBINAAN KEARSIPAN | DIREKTORAT KEARSIPAN DAERAH II,1,1,7974000,8581000,3,0,0,0
8a02826391606efe019165c0f0e5281f,Arsip Nasional Republik Indonesia,CPNS,PUTRA/PUTRI KALIMANTAN,ARSIPARIS AHLI PERTAMA,ARSIP NASIONAL REPUBLIK INDONESIA | DEPUTI BIDANG PEMBINAAN KEARSIPAN | DIREKTORAT KEARSIPAN DAERAH I,1,1,7974000,8581000,9,0,0,0
7ddf1b4a-2919-4cf1-ad2a-11978b7e8114,Arsip Nasional Republik Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,ARSIP NASIONAL REPUBLIK INDONESIA | DEPUTI BIDANG PEMBINAAN KEARSIPAN | DIREKTORAT KEARSIPAN DAERAH II,2,1,7974000,8581000,37,0,0,0
82502176-f87c-4878-a245-2618d8c3b292,Arsip Nasional Republik Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,ARSIP NASIONAL REPUBLIK INDONESIA | DEPUTI BIDANG PEMBINAAN KEARSIPAN | DIREKTORAT KEARSIPAN DAERAH I,2,1,7974000,8581000,28,0,0,0
b908dab6-1b26-4ec1-9ba8-210cd6dd5620,Arsip Nasional Republik Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,ARSIP NASIONAL REPUBLIK INDONESIA | DEPUTI BIDANG KONSERVASI ARSIP | DIREKTORAT PENGOLAHAN,1,1,7974000,8581000,19,0,0,0
c9c82a11-d846-4198-81b6-6448f5af012d,Arsip Nasional Republik Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,ARSIP NASIONAL REPUBLIK INDONESIA | DEPUTI BIDANG PEMBINAAN KEARSIPAN | DIREKTORAT SDM KEARSIPAN DAN SERTIFIKASI,1,1,7974000,8581000,86,0,0,0
ea09f093-f13c-4ee7-95ef-63a30ebc3e71,Arsip Nasional Republik Indonesia,CPNS,UMUM,PRANATA KOMPUTER AHLI PERTAMA,"ARSIP NASIONAL REPUBLIK INDONESIA | SEKRETARIAT UTAMA | BIRO ORGANISASI, KEPEGAWAIAN DAN HUKUM",1,1,7994000,8601000,29,0,0,0
4340f7e3-aca4-441a-8104-424d3bee7a60,Badan Informasi Geospasial,CPNS,UMUM,MANGGALA INFORMATIKA AHLI PERTAMA,Badan Informasi Geospasial | DEPUTI BIDANG INFRASTRUKTUR INFORMASI GEOSPASIAL | DIREKTORAT STANDAR DAN TEKNOLOGI INFORMASI GEOSPASIAL,1,1,5500000,7800000,30,0,0,0
13a040f8-3961-42c0-afd0-3cd854d6c2d7,Badan Intelijen Negara,CPNS,UMUM,PENATA KELOLA INTELIJEN AHLI PERTAMA,BADAN INTELIJEN NEGARA | DEPUTI BIDANG INTELIJEN EKONOMI | DIREKTORAT PERENCANAAN PENGENDALIAN KEGIATAN DAN OPERASI,1,0,3500000,7500000,15,0,0,0
