formasi_id,ins_nm,jp_nama,formasi_nm,jabatan_nm,lokasi_nm,jumlah_formasi,disable,gaji_min,gaji_max,jumlah_ms,jumlah_submit_t2,jumlah_ms_t2,is_periode_daftar
8a018692915486670191554a679703ca,Kementerian Kesehatan,CPNS,PENYANDANG DISABILITAS,PRANATA LABORATORIUM KESEHATAN AHLI PERTAMA,Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Umum Pusat Nasional Dr. Cipto Mangunkusumo Jakarta | Direktorat Medik dan Keperawatan | Instalasi Pelayanan Laboratorium Terpadu,1,1,5067381,9646000,0,0,0,0
8a018692915486670191554ac48d0576,Kementerian Kesehatan,CPNS,PENYANDANG DISABILITAS,PRANATA LABORATORIUM KESEHATAN AHLI PERTAMA,Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Umum Pusat Fatmawati Jakarta | DIREKTORAT MEDIK DAN KEPERAWATAN | INSTALASI LABORATORIUM,1,1,5000000,7000000,0,0,0,0
8a018692915486670191554b11480710,Kementerian Kesehatan,CPNS,PENYANDANG DISABILITAS,PRANATA LABORATORIUM KESEHATAN AHLI PERTAMA,Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Umum Pusat Dr. Sardjito Yogyakarta | Direktorat Medik dan Keperawatan | Instalasi Laboratorium Terpadu,1,1,4000000,8000000,0,0,0,0
8a018692915486670191554b6774089b,Kementerian Kesehatan,CPNS,PENYANDANG DISABILITAS,PRANATA LABORATORIUM KESEHATAN AHLI PERTAMA,Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Jantung dan Pembuluh Darah Harapan Kita Jakarta | Direktorat Medik dan Keperawatan | Instalasi Patologi Klinik dan Bank Darah,1,1,5501465,10098045,0,0,0,0
8a018692915486670191555817a91dd9,Kementerian Kesehatan,CPNS,PENYANDANG DISABILITAS,PRANATA LABORATORIUM KESEHATAN AHLI PERTAMA,Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Sekretariat Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Makassar | Direktorat Medik dan Keperawatan | Instalasi Laboratorium,1,1,3503600,8098750,0,0,0,0
8a0186929154866701915569df4b2e77,Kementerian Kesehatan,CPNS,PENYANDANG DISABILITAS,PRANATA LABORATORIUM KESEHATAN AHLI PERTAMA,Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Umum Pusat Dr. Soeradji Tirtonegoro Klaten | Direktorat Medik dan Keperawatan | Instalasi Laboratorium,2,1,5711192,10643402,0,0,0,0
8a018692915486670191556cdec53045,Kementerian Kesehatan,CPNS,PENYANDANG DISABILITAS,PRANATA LABORATORIUM KESEHATAN AHLI PERTAMA,Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Sekretariat Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Jayapura | DIREKTORAT MEDIK DAN KEPERAWATAN | INSTALASI LABORATORIUM,2,1,3085700,7798750,0,0,0,0
039ba8d2-ef26-4744-8942-7a7db4942077,Kementerian Kesehatan,CPNS,UMUM,PRANATA LABORATORIUM KESEHATAN AHLI PERTAMA,Kementerian Kesehatan | Direktorat Jenderal Pencegahan dan Pengendalian Penyakit | Balai Besar Kekarantinaan Kesehatan Surabaya,1,1,5000000,8000000,7,0,0,0
05375bb7-e754-4aea-a6c5-caf953f91dc7,Kementerian Kesehatan,CPNS,UMUM,PRANATA LABORATORIUM KESEHATAN AHLI PERTAMA,Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Sekretariat Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Jayapura | DIREKTORAT MEDIK DAN KEPERAWATAN | INSTALASI LABORATORIUM,10,1,3085700,7798750,44,0,0,0
0d78f615-2787-44fa-9f88-f0adb0884610,Kementerian Kesehatan,CPNS,UMUM,PRANATA LABORATORIUM KESEHATAN AHLI PERTAMA,Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Umum Pusat Dr. Hasan Sadikin Bandung | Direktorat Medik dan Keperawatan | Instalasi Laboratorium Klinik,2,1,3085700,9664528,45,0,0,0
14ffb919-18ee-48da-bcad-e4d3963e071f,Kementerian Kesehatan,CPNS,UMUM,PRANATA LABORATORIUM KESEHATAN AHLI PERTAMA,Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Sekretariat Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Makassar | Direktorat Medik dan Keperawatan | Instalasi Laboratorium,7,1,3503600,8098750,114,0,0,0
1f9514b5-80cc-4d17-a692-abad4cf6ec1a,Kementerian Kesehatan,CPNS,UMUM,PRANATA LABORATORIUM KESEHATAN AHLI PERTAMA,Kementerian Kesehatan | Direktorat Jenderal Kefarmasian dan Alat Kesehatan | Balai Pengamanan Alat dan Fasilitas Kesehatan Makassar,2,1,2785700,7680850,20,0,0,0
28e51629-313f-40e9-b225-a07ebbfbca8e,Kementerian Kesehatan,CPNS,UMUM,PRANATA LABORATORIUM KESEHATAN AHLI PERTAMA,Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Umum Pusat Dr. M. Djamil Padang | Direktorat Medik dan Keperawatan | Instalasi Laboratorium Sentral,1,1,3050000,3500000,9,0,0,0
2d116cf6-2c33-45ac-afd5-c4edc6508acb,Kementerian Kesehatan,CPNS,UMUM,PRANATA LABORATORIUM KESEHATAN AHLI PERTAMA,Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Balai Besar Biomedis dan Genomika Kesehatan | Instalasi Laboratorium Sekuensing,2,1,3158120,9851787,40,0,0,0
