formasi_id,ins_nm,jp_nama,formasi_nm,jabatan_nm,lokasi_nm,jumlah_formasi,disable,gaji_min,gaji_max,jumlah_ms,jumlah_submit_t2,jumlah_ms_t2,is_periode_daftar
8a01869291548667019154deb18670e9,Badan Intelijen Negara,CPNS,UMUM,PENGELOLA ADMINISTRASI INTELIJEN,BADAN INTELIJEN NEGARA | DEPUTI BIDANG INTELIJEN TEKNOLOGI ,6,0,3500000,7500000,1301,0,0,0
8a018692915486670191559820e3409b,Badan Intelijen Negara,CPNS,PUTRA/PUTRI KALIMANTAN,PENGELOLA ADMINISTRASI INTELIJEN,BADAN INTELIJEN NEGARA | DEPUTI BIDANG INTELIJEN TEKNOLOGI | DIREKTORAT PERENCANAAN PENGENDALIAN KEGIATAN DAN OPERASI,1,0,3500000,7500000,115,0,0,0
ac01a22d-38f1-41f9-bd02-308b1341e548,Badan Intelijen Negara,CPNS,UMUM,PENGELOLA ADMINISTRASI INTELIJEN,BADAN INTELIJEN NEGARA | SEKRETARIAT UTAMA | BIRO LOGISTIK | BAGIAN PENGADAAN LOGISTIK | SUBBAGIAN PEMELIHARAAN LOGISTIK,1,0,3500000,7500000,153,0,0,0
b50e6c1f-1ddc-43a6-9fb8-9528472621c5,Badan Intelijen Negara,CPNS,UMUM,PENGELOLA ADMINISTRASI INTELIJEN,BADAN INTELIJEN NEGARA | SEKRETARIAT UTAMA | BIRO PERENCANAAN DAN KEUANGAN | BAGIAN PELAKSANA ANGGARAN UMUM | SUBBAGIAN BELANJA BARANG DAN MODAL,1,0,3500000,7500000,3,0,0,0
e010d066-5a2f-490d-a878-8f1c0cb871e1,Badan Intelijen Negara,CPNS,UMUM,PENGELOLA ADMINISTRASI INTELIJEN,BADAN INTELIJEN NEGARA | DEPUTI BIDANG INTELIJEN TEKNOLOGI | DIREKTORAT PERENCANAAN PENGENDALIAN KEGIATAN DAN OPERASI,3,0,3500000,7500000,663,0,0,0
8a03849a9149c64e01914a5c130632da,Badan Nasional Pencarian dan Pertolongan,CPNS,UMUM,PRANATA PENCARIAN DAN PERTOLONGAN PEMULA,Pranata Pencarian dan Pertolongan Wilayah Pulau Sumatera,360,0,5181220,6718084,2216,0,0,0
8a03849a9149c64e01914a7055523ba4,Badan Nasional Pencarian dan Pertolongan,CPNS,UMUM,PRANATA PENCARIAN DAN PERTOLONGAN PEMULA,Pranata Pencarian dan Pertolongan Wilayah Pulau Jawa,252,0,5181220,6718084,933,0,0,0
8a03849a9149c64e01914a7221bb3c3e,Badan Nasional Pencarian dan Pertolongan,CPNS,UMUM,PRANATA PENCARIAN DAN PERTOLONGAN PEMULA,Pranata Pencarian dan Pertolongan Wilayah Pulau Bali dan Nusa Tenggara,110,0,5181220,6718084,538,0,0,0
8a03849a9149c64e01914a737dbf3cae,Badan Nasional Pencarian dan Pertolongan,CPNS,UMUM,PRANATA PENCARIAN DAN PERTOLONGAN PEMULA,Pranata Pencarian dan Pertolongan Wilayah Pulau Kalimantan,180,0,5181220,6718084,529,0,0,0
8a03849a9149c64e01914a7543323d86,Badan Nasional Pencarian dan Pertolongan,CPNS,UMUM,PRANATA PENCARIAN DAN PERTOLONGAN PEMULA,Pranata Pencarian dan Pertolongan Wilayah Pulau Sulawesi,180,0,5181220,6718084,871,0,0,0
8a03849a9149c64e01914a763d073dfa,Badan Nasional Pencarian dan Pertolongan,CPNS,UMUM,PRANATA PENCARIAN DAN PERTOLONGAN PEMULA,Pranata Pencarian dan Pertolongan Wilayah Pulau Maluku dan Papua,200,0,5181220,6718084,638,0,0,0
8a0186929154866701915506126a39d2,Kejaksaan Agung,CPNS,PUTRA/PUTRI PAPUA DAN PAPUA BARAT,PENJAGA TAHANAN,Kejaksaan Agung,27,0,7194100,8924100,165,0,0,0
8a03849f914ed85101914f4b33be4673,Kejaksaan Agung,CPNS,UMUM,PENJAGA TAHANAN,Kejaksaan Agung,921,1,7194100,8924100,20506,0,0,0
4028e4b8915946a201915947bcaf0000,Kementerian Hukum dan Hak Asasi Manusia,CPNS,UMUM,PEMERIKSA KEIMIGRASIAN PEMULA,KANTOR WILAYAH KEMENKUMHAM ACEH,43,0,2184000,6018250,3477,0,0,0
8a0184a3914601560191461a245a008a,Kementerian Hukum dan Hak Asasi Manusia,CPNS,UMUM,PEMERIKSA KEIMIGRASIAN PEMULA,KANTOR WILAYAH KEMENKUMHAM ACEH,42,0,2184000,6018250,3695,0,0,0
8a0184a3914601560191461bc15d009e,Kementerian Hukum dan Hak Asasi Manusia,CPNS,UMUM,PEMERIKSA KEIMIGRASIAN PEMULA,KANTOR WILAYAH KEMENKUMHAM BALI,52,0,2184000,6018250,1238,0,0,0
8a0184a3914601560191461d93bf00bc,Kementerian Hukum dan Hak Asasi Manusia,CPNS,UMUM,PEMERIKSA KEIMIGRASIAN PEMULA,KANTOR WILAYAH KEMENKUMHAM BANGKA BELITUNG,24,0,2184000,6018250,1264,0,0,0
8a0184a3914601560191462223e600fe,Kementerian Hukum dan Hak Asasi Manusia,CPNS,UMUM,PEMERIKSA KEIMIGRASIAN PEMULA,KANTOR WILAYAH KEMENKUMHAM BANTEN,42,0,2184000,6018250,1790,0,0,0
8a0184a3914601560191462320640116,Kementerian Hukum dan Hak Asasi Manusia,CPNS,UMUM,PEMERIKSA KEIMIGRASIAN PEMULA,KANTOR WILAYAH KEMENKUMHAM BENGKULU,7,0,2184000,6018250,699,0,0,0
8a0184a39146015601914624efd7013b,Kementerian Hukum dan Hak Asasi Manusia,CPNS,UMUM,PEMERIKSA KEIMIGRASIAN PEMULA,KANTOR WILAYAH KEMENKUMHAM D.I. YOGYAKARTA,12,0,2184000,6018250,1326,0,0,0
8a0184a39146015601914628146d019e,Kementerian Hukum dan Hak Asasi Manusia,CPNS,UMUM,PEMERIKSA KEIMIGRASIAN PEMULA,KANTOR WILAYAH KEMENKUMHAM DKI JAKARTA,120,0,2184000,6018250,2771,0,0,0
8a0184a391460156019146294d6401ba,Kementerian Hukum dan Hak Asasi Manusia,CPNS,UMUM,PEMERIKSA KEIMIGRASIAN PEMULA,KANTOR WILAYAH KEMENKUMHAM GORONTALO,9,0,2184000,6018250,664,0,0,0
8a0184a3914601560191496e04104f99,Kementerian Hukum dan Hak Asasi Manusia,CPNS,UMUM,PEMERIKSA KEIMIGRASIAN PEMULA,KANTOR WILAYAH KEMENKUMHAM JAMBI,21,0,2184000,6018250,2162,0,0,0
8a0184a39146015601914978580b5256,Kementerian Hukum dan Hak Asasi Manusia,CPNS,UMUM,PEMERIKSA KEIMIGRASIAN PEMULA,KANTOR WILAYAH KEMENKUMHAM JAWA BARAT,124,0,2184000,6018250,5705,0,0,0
8a0184a391460156019149840e36561e,Kementerian Hukum dan Hak Asasi Manusia,CPNS,UMUM,PEMERIKSA KEIMIGRASIAN PEMULA,KANTOR WILAYAH KEMENKUMHAM JAWA TENGAH,68,0,2184000,6018250,4986,0,0,0
8a0184a3914601560191499221bd59d0,Kementerian Hukum dan Hak Asasi Manusia,CPNS,UMUM,PEMERIKSA KEIMIGRASIAN PEMULA,KANTOR WILAYAH KEMENKUMHAM JAWA TIMUR,116,0,2184000,6018250,6254,0,0,0
8a0184a3914601560191499661075b82,Kementerian Hukum dan Hak Asasi Manusia,CPNS,UMUM,PEMERIKSA KEIMIGRASIAN PEMULA,KANTOR WILAYAH KEMENKUMHAM KALIMANTAN BARAT,87,0,2184000,6018250,2431,0,0,0
8a0184a39146015601914997df365c20,Kementerian Hukum dan Hak Asasi Manusia,CPNS,UMUM,PEMERIKSA KEIMIGRASIAN PEMULA,KANTOR WILAYAH KEMENKUMHAM KALIMANTAN SELATAN,32,0,2184000,6018250,1237,0,0,0
8a0184a3914601560191499a31c35da5,Kementerian Hukum dan Hak Asasi Manusia,CPNS,UMUM,PEMERIKSA KEIMIGRASIAN PEMULA,KANTOR WILAYAH KEMENKUMHAM KALIMANTAN TENGAH,23,0,2184000,6018250,523,0,0,0
8a0184a3914601560191499be2c65e7d,Kementerian Hukum dan Hak Asasi Manusia,CPNS,UMUM,PEMERIKSA KEIMIGRASIAN PEMULA,KANTOR WILAYAH KEMENKUMHAM KALIMANTAN TIMUR,75,0,2184000,6018250,1294,0,0,0
8a0184a3914601560191499d71e15ee0,Kementerian Hukum dan Hak Asasi Manusia,CPNS,UMUM,PEMERIKSA KEIMIGRASIAN PEMULA,KANTOR WILAYAH KEMENKUMHAM KEPULAUAN RIAU,92,0,2184000,6018250,2007,0,0,0
8a0184a3914601560191499ed0605f48,Kementerian Hukum dan Hak Asasi Manusia,CPNS,UMUM,PEMERIKSA KEIMIGRASIAN PEMULA,KANTOR WILAYAH KEMENKUMHAM LAMPUNG,26,0,2184000,6018250,2870,0,0,0
8a0186cc9159ace5019159bf16370810,Kementerian Hukum dan Hak Asasi Manusia,CPNS,UMUM,PEMERIKSA KEIMIGRASIAN PEMULA,KANTOR WILAYAH KEMENKUMHAM JAMBI,22,0,2184000,6018250,1777,0,0,0
8a0186cc9159ace5019159c1257908ef,Kementerian Hukum dan Hak Asasi Manusia,CPNS,UMUM,PEMERIKSA KEIMIGRASIAN PEMULA,KANTOR WILAYAH KEMENKUMHAM JAWA BARAT,125,0,2184000,6018250,6642,0,0,0
8a0186cc9159ace5019159c2697209b4,Kementerian Hukum dan Hak Asasi Manusia,CPNS,UMUM,PEMERIKSA KEIMIGRASIAN PEMULA,KANTOR WILAYAH KEMENKUMHAM JAWA TENGAH,69,0,2184000,6018250,5016,0,0,0
8a0186cc9159ace5019159c3f8290a7d,Kementerian Hukum dan Hak Asasi Manusia,CPNS,UMUM,PEMERIKSA KEIMIGRASIAN PEMULA,KANTOR WILAYAH KEMENKUMHAM JAWA TIMUR,116,0,2184000,6018250,5805,0,0,0
8a0186cc9159ace5019159c4f1010b6b,Kementerian Hukum dan Hak Asasi Manusia,CPNS,UMUM,PEMERIKSA KEIMIGRASIAN PEMULA,KANTOR WILAYAH KEMENKUMHAM KALIMANTAN BARAT,88,0,2184000,6018250,2878,0,0,0
8a0186cc9159ace5019159c645950c06,Kementerian Hukum dan Hak Asasi Manusia,CPNS,UMUM,PEMERIKSA KEIMIGRASIAN PEMULA,KANTOR WILAYAH KEMENKUMHAM KALIMANTAN SELATAN,32,0,2184000,6018250,1255,0,0,0
8a0186cc9159ace5019159c77af40caa,Kementerian Hukum dan Hak Asasi Manusia,CPNS,UMUM,PEMERIKSA KEIMIGRASIAN PEMULA,KANTOR WILAYAH KEMENKUMHAM KALIMANTAN TENGAH,23,0,2184000,6018250,467,0,0,0
8a0186cc9159ace5019159c8b01f0d22,Kementerian Hukum dan Hak Asasi Manusia,CPNS,UMUM,PEMERIKSA KEIMIGRASIAN PEMULA,KANTOR WILAYAH KEMENKUMHAM KALIMANTAN TIMUR,76,0,2184000,6018250,1214,0,0,0
8a0186cc9159ace5019159ca22330dd2,Kementerian Hukum dan Hak Asasi Manusia,CPNS,UMUM,PEMERIKSA KEIMIGRASIAN PEMULA,KANTOR WILAYAH KEMENKUMHAM KEPULAUAN RIAU,93,0,2184000,6018250,1956,0,0,0
8a0186cc9159ace5019159cc04190e5b,Kementerian Hukum dan Hak Asasi Manusia,CPNS,UMUM,PEMERIKSA KEIMIGRASIAN PEMULA,KANTOR WILAYAH KEMENKUMHAM LAMPUNG,26,0,2184000,6018250,1956,0,0,0
8a0186cc9159ace5019159cd67ad0ef5,Kementerian Hukum dan Hak Asasi Manusia,CPNS,UMUM,PEMERIKSA KEIMIGRASIAN PEMULA,KANTOR WILAYAH KEMENKUMHAM MALUKU,22,0,2184000,6018250,593,0,0,0
8a0186cc9159ace5019159cf0ca70f93,Kementerian Hukum dan Hak Asasi Manusia,CPNS,UMUM,PEMERIKSA KEIMIGRASIAN PEMULA,KANTOR WILAYAH KEMENKUMHAM MALUKU UTARA,24,0,2184000,6018250,415,0,0,0
